id,name,categories/0/title,rating,coordinates/latitude,coordinates/longitude,price,location/address1,location/city,location/zip_code
FrfzI901uS2bU2kgUkqaVw,Pearlz Oyster Bar,Seafood,4.0,35.060801,-80.814302,$$,7804 Rea Rd,Charlotte,28277
bzbNGyrTwWHAgg1CqkSgeg,Stewart Penick's Terrace,Southern,4.0,35.1524371764842,-80.8395179364014,$$,4625 Piedmont Row Dr,Charlotte,28210
HiA9a6M9M_5Jb3W5GdDrXQ,Courtyard by Marriott Charlotte City Center,Hotels,3.0,35.225704,-80.844848,$$,237 S Tryon St,Charlotte,28202
GNIxpOWJcjx5pGN9IBgrYQ,Tin Roof,Music Venues,3.0,35.225242,-80.84173,$,210 E Trade St,Charlotte,28202
SlQNMsVEOSxN-ciIn93LOw,House Of Leng At Boardwalk,Chinese,3.5,35.30985,-80.7488,$$,8933 J M Keynes Dr,Charlotte,28262
yymNrvk1cioG5Bn5lWH2QQ,Wild Wing Cafe,American (Traditional),2.5,35.225324,-80.842187,$$,210 E Trade St,Charlotte,28202
eZDXz_RylvdD0tHEA8I0NA,New Zealand Cafe,Sushi Bars,4.0,35.140625,-80.737637,$$,1717 N Sardis Rd,Charlotte,28270
XdhisHedvykhoCnm6eS9-A,Wingstop,Chicken Wings,2.0,35.1784285450813,-80.7564096304272,$$,6609 Monroe Rd Ste 110,Charlotte,28212
MV9fUwgI2AQa4uZArynRlA,Monterrey,Mexican,3.0,35.089838,-80.868412,$,10707 Park Rd,Charlotte,28210
1JOQhzsW6cu4yVHuPhlRwQ,El Valle Mexican Restaurant,Mexican,4.0,35.1177434,-80.7254982,$,305 W John St,Matthews,28105
kgmVm_ZbJsJpSye27xccvg,Killingtons Restaurant & Pub,American (Traditional),4.0,35.4090885,-80.8605753,$$,10010C Rose Commons Dr,Huntersville,28078
Z35sWrHZ8pfaHRuXLZc0lQ,South 21 Matthews,Burgers,4.0,35.11533,-80.69508,$,11450 E Independence Blvd,Matthews,28105
ynvp3qvt3xc321dLKFxpgA,Hilton Charlotte Center City,Hotels,3.0,35.2237356,-80.8436325,$$$,222 E 3rd St,Charlotte,28202
0DyDT4NJNaIuDpT7nTIjxg,Chaupaati,Indian,4.0,35.08753,-80.87178,$$,9101 Pineville Matthews Rd,Pineville,28134
yVhEA59Q4vcfQ6z7mIqysg,Crackin' Crawfish,Seafood,3.5,35.3024162666032,-80.7478761550294,$$,440 E Mccullough Dr,Charlotte,28262
tMKblwX0CeCDZbCz6ruyPg,Cocoa's Jamaican Jerk,Caribbean,3.0,35.3335099,-80.79633,$$,6316-A Old Sugar Creek Rd,Charlotte,28269
sPwh9yiJYeyAN4CBq_tUYg,Hickory Tavern,American (Traditional),3.5,35.0711594476984,-80.8441382944558,$$,12210 Copper Way,Charlotte,28277
rqjhez-ulSyMkr7lMGJwFA,Red Ginger,Sushi Bars,3.0,35.2240551792898,-80.8455877507873,$$,401 S Tryon St,Charlotte,28202
80TTAvMtRsPPFtFFnXgskA,Genghis Grill,Mongolian,3.5,35.0559982,-80.8354186,$$,11324 North Community House Rd,Charlotte,28277
npWIa3dIPEV1MTaZNq6AUA,Firebirds Wood Fired Grill,Steakhouses,4.0,35.062086,-80.8161,$$,7716 Rea Rd,Charlotte,28277
